Carrefour Feux tricolores,Mouvement directionnel autorisé,ville,code_postal,Extracted street names,Second street names,Street 1,Street 2
"Intersection de l'avenue des
Îles avec le boulevard du Fier","Mouvement de tourne à droite pour les cycles circulant avenue des Îles  vers
le boulevard du Fier",Annecy,74000,avenue des Îles,boulevard du Fier,"['Avenue des Îles, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.915827, 6.1123464)]","['Boulevard du Fier, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9161667, 6.1160288)]"
"Intersection de la rue du
Cimetière des Îles avec le
boulevard du Fier","Mouvement de tourne à droite pour les cycles circulant boulevard du Fier
vers la rue du Cimetière des Îles",Annecy,74000,rue du Cimetière,boulevard du Fier,"['Rue des Clefs, Pecherat, Les Clefs, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74230, France', (45.8606819, 6.3286235)]","['Boulevard du Fier, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9161667, 6.1160288)]"
"Intersection de la rue du
Cimetière des Îles avec le
boulevard du Fier","Mouvement de tourne à droite pour les cycles circulant rue du Cimetière des
Îles vers le boulevard du Fier",Annecy,74000,rue du Cimetière,boulevard du Fier,"['Rue des Clefs, Pecherat, Les Clefs, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74230, France', (45.8606819, 6.3286235)]","['Boulevard du Fier, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9161667, 6.1160288)]"
"Intersection de la rue
Maréchal Leclerc avec du
boulevard du Fier","Mouvement de tourne à droite pour les cycles circulant rue du Maréchal
Leclerc vers le boulevard du Fier",Annecy,74000,rue Maréchal Leclerc,boulevard du Fier,"['Rue Maréchal Leclerc, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9131915, 6.1215172)]","['Boulevard du Fier, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9161667, 6.1160288)]"
"Intersection de la rue
Maréchal Leclerc avec du
boulevard du Fier","Mouvement de tourne à droite pour les cycles circulant boulevard du Fier
vers la rue du Maréchal Leclerc",Annecy,74000,rue Maréchal Leclerc,boulevard du Fier,"['Rue Maréchal Leclerc, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9131915, 6.1215172)]","['Boulevard du Fier, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9161667, 6.1160288)]"
"Intersection de la rue Marius
Vallin avec le boulevard du
Fier","Mouvement de tourne à droite pour les cycles  circulant boulevard du Fier
vers la rue Marius Vallin",Annecy,74000,rue Marius Vallin,boulevard du Fier,"['Rue Marius Vallin, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.919896, 6.1234396)]","['Boulevard du Fier, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9161667, 6.1160288)]"
"Intersection de la rue Marius
Vallin avec le boulevard du
Fier","Mouvement direct à l'intersection du boulevard du Fier avec la rue Marius
Vallin pour les cyclistes circulant boulevard du Fier dans le sens Nord/Sud",Annecy,74000,rue Marius Vallin,boulevard du Fier,"['Rue Marius Vallin, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.919896, 6.1234396)]","['Boulevard du Fier, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9161667, 6.1160288)]"
"Intersection de la rue Marius
Vallin avec le boulevard du
Fier","Mouvement de tourne à droite pour les cycles circulant rue Marius Vallin
vers le boulevard du Fier",Annecy,74000,rue Marius Vallin,boulevard du Fier,"['Rue Marius Vallin, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.919896, 6.1234396)]","['Boulevard du Fier, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9161667, 6.1160288)]"
"Intersection de la rue Marius
Vallin avec le boulevard du
Fier","Mouvement de tourne à droite pour les cycles circulant rue Lucie Aubrac
vers l'avenue de Genève dans le sens Ouest/Sud",Annecy,74000,rue Marius Vallin,boulevard du Fier,"['Rue Marius Vallin, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.919896, 6.1234396)]","['Boulevard du Fier, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9161667, 6.1160288)]"
"Intersection de l'avenue de
Genève avec la rue Lucie
Aubrac et le boulevard
Bellevue","Mouvement de tourne à droite pour les cycles circulant avenue de Genève
vers la rue Lucie Aubrac",Annecy,74000,avenue de Genève,rue Lucie Aubrac,"['Avenue de Genève, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9097803, 6.1237993)]","['Rue Lucie Aubrac, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9194913, 6.1219496)]"
"Intersection de l'avenue de
Genève avec la rue Lucie
Aubrac et le boulevard
Bellevue","Mouvement de tourne à droite pour les cycles circulant boulevard Bellevue
vers l'avenue de Genève dans le sens Est/Nord",Annecy,74000,avenue de Genève,rue Lucie Aubrac,"['Avenue de Genève, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9097803, 6.1237993)]","['Rue Lucie Aubrac, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9194913, 6.1219496)]"
"Intersection de l'avenue de
Genève avec la rue Lucie
Aubrac et le boulevard
Bellevue","Mouvement de tourne à droite pour les cycles circulant avenue de Genève
vers le boulevard Bellevue",Annecy,74000,avenue de Genève,rue Lucie Aubrac,"['Avenue de Genève, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9097803, 6.1237993)]","['Rue Lucie Aubrac, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9194913, 6.1219496)]"
"Intersection de l'avenue de
Genève avec le chemin des
Carrières","Mouvement direct à l'intersection entre l'avenue de Genève et le chemin
des Carrières pour les cyclistes circulant avenue de Genève dans le sens
Sud/Nord",Annecy,74000,avenue de Genève,No match found,"['Avenue de Genève, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9097803, 6.1237993)]",
"Intersection de l'avenue de
Brogny avec la rue Jacqueline
Auriol","Mouvement direct à l'intersection de l'avenue de Brogny et de la rue
Jacqueline Auriol pour les cycles circulant dans les deux sens",Annecy,74000,avenue de Brogny,rue Jacqueline Auriol,"['Annecy, Avenue de Brogny, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.90204355, 6.12179444611825)]","['Rue Jacqueline Auriol, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9229999, 6.1310383)]"
"Intersection de l'avenue de
Brogny avec la rue Jacqueline
Auriol","Mouvement direct rue Jacqueline Auriol au droit de la bretelle d'accès à la
RD 1201 pour les cycles circulant rue Jacqueline Auriol dans les deux sens",Annecy,74000,avenue de Brogny,rue Jacqueline Auriol,"['Annecy, Avenue de Brogny, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.90204355, 6.12179444611825)]","['Rue Jacqueline Auriol, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9229999, 6.1310383)]"
"Intersection de l'avenue de
Brogny avec la rue Jacqueline
Auriol","Mouvement  de tourne à gauche et de tourne à droite pour les cycles
circulant avenue de Brogny vers la rue Jacqueline Auriol en direction de l'Est
ou de l'Ouest",Annecy,74000,avenue de Brogny,rue Jacqueline Auriol,"['Annecy, Avenue de Brogny, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.90204355, 6.12179444611825)]","['Rue Jacqueline Auriol, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9229999, 6.1310383)]"
