Carrefour Feux tricolores,Mouvement directionnel autorisé,ville,code_postal,Street1_name,Street2_name,Street1_coordinates,Street2_coordinates
"Intersection de l'avenue des
Îles avec le boulevard du Fier","Mouvement de tourne à droite pour les cycles circulant avenue des Îles  vers
le boulevard du Fier",Annecy,74000,avenue des Îles,boulevard du Fier,"(45.915827, 6.1123464)","(45.9161667, 6.1160288)"
"Intersection de la rue du
Cimetière des Îles avec le
boulevard du Fier","Mouvement de tourne à droite pour les cycles circulant boulevard du Fier
vers la rue du Cimetière des Îles",Annecy,74000,rue du Cimetière,boulevard du Fier,"(45.8606819, 6.3286235)","(45.9161667, 6.1160288)"
"Intersection de la rue du
Cimetière des Îles avec le
boulevard du Fier","Mouvement de tourne à droite pour les cycles circulant rue du Cimetière des
Îles vers le boulevard du Fier",Annecy,74000,rue du Cimetière,boulevard du Fier,"(45.8606819, 6.3286235)","(45.9161667, 6.1160288)"
"Intersection de la rue
Maréchal Leclerc avec du
boulevard du Fier","Mouvement de tourne à droite pour les cycles circulant rue du Maréchal
Leclerc vers le boulevard du Fier",Annecy,74000,rue Maréchal Leclerc,boulevard du Fier,"(45.9131915, 6.1215172)","(45.9161667, 6.1160288)"
"Intersection de la rue
Maréchal Leclerc avec du
boulevard du Fier","Mouvement de tourne à droite pour les cycles circulant boulevard du Fier
vers la rue du Maréchal Leclerc",Annecy,74000,rue Maréchal Leclerc,boulevard du Fier,"(45.9131915, 6.1215172)","(45.9161667, 6.1160288)"
"Intersection de la rue Marius
Vallin avec le boulevard du
Fier","Mouvement de tourne à droite pour les cycles  circulant boulevard du Fier
vers la rue Marius Vallin",Annecy,74000,rue Marius Vallin,boulevard du Fier,"(45.919896, 6.1234396)","(45.9161667, 6.1160288)"
"Intersection de la rue Marius
Vallin avec le boulevard du
Fier","Mouvement direct à l'intersection du boulevard du Fier avec la rue Marius
Vallin pour les cyclistes circulant boulevard du Fier dans le sens Nord/Sud",Annecy,74000,rue Marius Vallin,boulevard du Fier,"(45.919896, 6.1234396)","(45.9161667, 6.1160288)"
"Intersection de la rue Marius
Vallin avec le boulevard du
Fier","Mouvement de tourne à droite pour les cycles circulant rue Marius Vallin
vers le boulevard du Fier",Annecy,74000,rue Marius Vallin,boulevard du Fier,"(45.919896, 6.1234396)","(45.9161667, 6.1160288)"
"Intersection de la rue Marius
Vallin avec le boulevard du
Fier","Mouvement de tourne à droite pour les cycles circulant rue Lucie Aubrac
vers l'avenue de Genève dans le sens Ouest/Sud",Annecy,74000,rue Marius Vallin,boulevard du Fier,"(45.919896, 6.1234396)","(45.9161667, 6.1160288)"
"Intersection de l'avenue de
Genève avec la rue Lucie
Aubrac et le boulevard
Bellevue","Mouvement de tourne à droite pour les cycles circulant avenue de Genève
vers la rue Lucie Aubrac",Annecy,74000,avenue de Genève,rue Lucie Aubrac,"(45.9097803, 6.1237993)","(45.9194913, 6.1219496)"
"Intersection de l'avenue de
Genève avec la rue Lucie
Aubrac et le boulevard
Bellevue","Mouvement de tourne à droite pour les cycles circulant boulevard Bellevue
vers l'avenue de Genève dans le sens Est/Nord",Annecy,74000,avenue de Genève,rue Lucie Aubrac,"(45.9097803, 6.1237993)","(45.9194913, 6.1219496)"
"Intersection de l'avenue de
Genève avec la rue Lucie
Aubrac et le boulevard
Bellevue","Mouvement de tourne à droite pour les cycles circulant avenue de Genève
vers le boulevard Bellevue",Annecy,74000,avenue de Genève,rue Lucie Aubrac,"(45.9097803, 6.1237993)","(45.9194913, 6.1219496)"
"Intersection de l'avenue de
Genève avec le chemin des
Carrières","Mouvement direct à l'intersection entre l'avenue de Genève et le chemin
des Carrières pour les cyclistes circulant avenue de Genève dans le sens
Sud/Nord",Annecy,74000,avenue de Genève,No match found,"(45.9097803, 6.1237993)",
"Intersection de l'avenue de
Brogny avec la rue Jacqueline
Auriol","Mouvement direct à l'intersection de l'avenue de Brogny et de la rue
Jacqueline Auriol pour les cycles circulant dans les deux sens",Annecy,74000,avenue de Brogny,rue Jacqueline Auriol,"(45.90204355, 6.12179444611825)","(45.9229999, 6.1310383)"
"Intersection de l'avenue de
Brogny avec la rue Jacqueline
Auriol","Mouvement direct rue Jacqueline Auriol au droit de la bretelle d'accès à la
RD 1201 pour les cycles circulant rue Jacqueline Auriol dans les deux sens",Annecy,74000,avenue de Brogny,rue Jacqueline Auriol,"(45.90204355, 6.12179444611825)","(45.9229999, 6.1310383)"
"Intersection de l'avenue de
Brogny avec la rue Jacqueline
Auriol","Mouvement  de tourne à gauche et de tourne à droite pour les cycles
circulant avenue de Brogny vers la rue Jacqueline Auriol en direction de l'Est
ou de l'Ouest",Annecy,74000,avenue de Brogny,rue Jacqueline Auriol,"(45.90204355, 6.12179444611825)","(45.9229999, 6.1310383)"
"Intersection de l'avenue de
Brogny avec la rue Jacqueline
Auriol","Mouvement de tourne à gauche pour les cycles circulant rue Jacqueline
Auriol vers l'avenue de Brogny en direction du Sud",Annecy,74000,avenue de Brogny,rue Jacqueline Auriol,"(45.90204355, 6.12179444611825)","(45.9229999, 6.1310383)"
"Intersection de l'avenue de
Brogny avec la rue Jacqueline
Auriol","Mouvement direct au nord de l'avenue de Brogny pour les cycles circulant
dans le sens Nord/Sud",Annecy,74000,avenue de Brogny,rue Jacqueline Auriol,"(45.90204355, 6.12179444611825)","(45.9229999, 6.1310383)"
"Intersection de la rue de
Frontenex avec la rue Marc
Leroux","Mouvement direct à l'intersection de la rue Marc Leroux avec la rue de
Frontenex pour les cyclistes circulant rue Marc Leroux dans le sens Ouest/Est",Annecy,74000,rue de Frontenex,rue Marc Leroux,"(45.915427, 6.126038)","(45.9153183, 6.1262858)"
"Intersection de la rue de
Frontenex avec la rue Marc
Leroux","Mouvement de tourne à droite pour les cycles circulant rue de Frontenex
vers la rue Marc Leroux",Annecy,74000,rue de Frontenex,rue Marc Leroux,"(45.915427, 6.126038)","(45.9153183, 6.1262858)"
"Intersection de la rue Marc
Leroux avec l'avenue de
Brogny","Mouvement direct à l'intersection de l'avenue de Brogny avec la rue Marc
Leroux pour les cyclistes circulant avenue de Brogny dans le sens Nord/Sud",Annecy,74000,rue Marc Leroux,avenue de Brogny,"(45.9153183, 6.1262858)","(45.90204355, 6.12179444611825)"
"Intersection de la rue Marc
Leroux avec l'avenue de
Brogny","Mouvement de tourne à droite pour les cycles circulant avenue de Brogny
vers la rue Marc Leroux",Annecy,74000,rue Marc Leroux,avenue de Brogny,"(45.9153183, 6.1262858)","(45.90204355, 6.12179444611825)"
